,Entry_Date,Entry_Price,Type,Exit_Date,Exit_Price,Equity
0,2023-01-10,95.93292999267578,Short,2023-01-11,96.9488525390625,-105.89925132738901
1,2023-01-12,96.17481231689452,Short,2023-01-13,96.70696258544922,-55.331562987747226
2,2023-01-16,98.78721618652344,Long,2023-01-20,98.4969482421875,-29.38314850252212
3,2023-01-24,97.38426208496094,Short,2023-01-31,91.86920928955078,566.3186922953382
4,2023-02-08,92.9818878173828,Long,2023-02-13,92.15612030029295,-88.80950220237064
5,2023-02-14,92.10743713378906,Short,2023-02-16,95.17443084716795,-332.980029497942
6,2023-02-17,93.90868377685548,Long,2023-02-20,92.3995361328125,-160.70373722083025
7,2023-02-22,92.49690246582033,Short,2023-02-23,92.8863525390625,-42.10412055539739
8,2023-02-24,92.8376693725586,Short,2023-02-27,92.8863525390625,-5.243902268651334
9,2023-02-28,92.10743713378906,Short,2023-03-01,94.49288177490234,-258.9850195970978
10,2023-03-02,94.152099609375,Long,2023-03-03,93.32450103759766,-87.90017165957468
11,2023-03-06,93.90868377685548,Long,2023-03-08,93.5679168701172,-36.287049613857526
12,2023-03-09,92.9350357055664,Short,2023-03-17,90.93905639648438,214.77145771005289
13,2023-03-23,89.67330169677734,Short,2023-03-27,89.91831970214844,-27.323406268635157
14,2023-03-28,88.49726104736328,Short,2023-03-29,89.7223129272461,-138.42822539187637
15,2023-03-31,95.60252380371094,Long,2023-04-19,99.37566375732422,394.6694923410402
16,2023-04-25,99.1306610107422,Short,2023-04-26,99.62067413330078,-49.43103552043093
17,2023-04-28,101.23773956298828,Long,2023-05-05,104.17784881591795,290.41632750999844
18,2023-05-08,105.15788269042967,Long,2023-05-12,105.15788269042967,0.0
19,2023-05-16,106.28491973876952,Long,2023-05-17,106.08890533447266,-18.4423533252536
20,2023-05-19,104.86386108398438,Short,2023-05-22,108.24497985839844,-322.4293612177945
21,2023-05-23,105.7458953857422,Short,2023-05-24,106.6279296875,-83.41073651514266
22,2023-05-25,107.4119644165039,Long,2023-06-08,115.2032470703125,725.3645062850615
23,2023-06-09,117.94734954833984,Long,2023-06-12,116.72230529785156,-103.86365231430706
24,2023-06-13,119.66240692138672,Long,2023-06-14,118.97639465332033,-57.32897120455499
25,2023-06-16,122.70052337646484,Long,2023-06-21,120.34844970703124,-191.69222793101457
26,2023-06-23,117.6533432006836,Short,2023-06-28,118.33936309814452,-58.30857660294156
27,2023-06-30,123.23954010009766,Long,2023-07-04,119.61341094970705,-294.23423257222436
28,2023-07-05,119.31939697265624,Short,2023-07-06,122.30851745605467,-250.51421304814653
29,2023-07-07,121.573486328125,Long,2023-07-10,120.54444122314452,-84.64387557358565
30,2023-07-11,124.85660552978516,Long,2023-07-13,122.9945297241211,-149.13714799173002
31,2023-07-14,124.6115951538086,Long,2023-07-19,124.36658477783205,-19.66192437181556
32,2023-07-20,123.48455047607422,Short,2023-07-24,123.48455047607422,0.0
33,2023-07-25,124.51359558105467,Long,2023-07-26,123.48455047607422,-82.64520032357242
34,2023-07-27,124.7095947265625,Long,2023-08-02,122.8475341796875,-149.3117310626935
35,2023-08-03,122.1614990234375,Short,2023-08-04,125.05261993408205,-236.66383711367723
36,2023-08-07,125.98363494873048,Long,2023-08-10,126.81665802001952,66.12153012000614
37,2023-08-11,129.41378784179688,Long,2023-08-14,127.89471435546876,-117.38111615936293
38,2023-08-16,128.6787567138672,Long,2023-08-17,126.7096710205078,-153.0233694857567
39,2023-08-18,125.18364715576172,Short,2023-08-21,127.2511749267578,-165.15957299307038
40,2023-08-22,131.23854064941406,Long,2023-08-25,131.3369903564453,7.501585017944159
41,2023-08-28,132.8137969970703,Long,2023-08-31,131.1400909423828,-126.01898993403671
42,2023-09-01,135.71817016601562,Long,2023-09-06,136.16122436523438,32.64516451089705
43,2023-09-07,137.68724060058594,Long,2023-09-12,132.0753936767578,-407.5793006926049
44,2023-09-13,133.74911499023438,Short,2023-09-18,137.73646545410156,-298.12163348956153
45,2023-09-20,134.78286743164062,Short,2023-09-25,134.4875030517578,21.914089343188653
46,2023-09-26,135.52125549316406,Long,2023-09-27,134.4875030517578,-76.27972731247272
47,2023-09-28,132.9614715576172,Short,2023-09-29,136.16122436523438,-240.6526319341024
48,2023-10-03,137.04730224609375,Long,2023-10-09,133.65065002441406,-247.84524510963163
49,2023-10-10,137.78570556640625,Long,2023-10-11,135.61973571777344,-157.19844375212904
50,2023-10-13,135.32435607910156,Short,2023-10-17,136.40736389160156,-80.03051659576685
51,2023-10-18,134.9305419921875,Short,2023-10-27,130.15553283691406,353.88645778580735
